#id	length	evalue	coverge	probability	score
TE_00003053#DNA/DTA|Class_II/Subclass_1/TIR/hAT:hAT-TPase	422	5.5e-45	92.7	0.82	0.32
cluster_1032#DNA/DTH|Class_II/Subclass_1/TIR/PIF_Harbinger:PIF_Harbinger-TPase	114	1.1e-20	70.4	0.93	0.47
cluster_1165#DNA/DTA|Class_II/Subclass_1/TIR/hAT:hAT-TPase	298	4e-28	55.8	0.87	0.2
cluster_1200#DNA/DTA|Class_II/Subclass_1/TIR/hAT:hAT-TPase	106	1.6e-15	20.4	0.89	0.11
cluster_1257#DNA/DTA|Class_II/Subclass_1/TIR/hAT:hAT-TPase	166	1.4e-19	32.7	0.7	0.14
cluster_348#DNA/DTM|Class_II/Subclass_1/TIR/MULE:MULE-TPase	63	1.4e-07	33.7	0.92	0.12
cluster_357#DNA/DTC|Class_II/Subclass_1/TIR/Ginger:Ginger-TPase	153	2.6e-19	92.8	0.86	0.39
cluster_359#DNA/DTA|Class_II/Subclass_1/TIR/hAT:hAT-TPase	157	2.4e-18	33.3	0.91	0.13
cluster_397#DNA/DTM|Class_II/Subclass_1/TIR/MULE:MULE-TPase	107	1.7e-24	62.0	0.95	0.42
cluster_398#DNA/DTH|Class_II/Subclass_1/TIR/PIF_Harbinger:PIF_Harbinger-TPase	143	2.5e-29	100.0	0.98	0.68
cluster_459#DNA/DTM|Class_II/Subclass_1/TIR/MULE:MULE-TPase	104	6.9e-21	61.4	0.93	0.36
cluster_460#DNA/DTM|Class_II/Subclass_1/TIR/MULE:MULE-TPase	104	6.9e-21	61.4	0.93	0.36
cluster_465#DNA/DTM|Class_II/Subclass_1/TIR/MULE:MULE-TPase	163	1.2e-32	99.5	0.92	0.56
cluster_476#DNA/DTM|Class_II/Subclass_1/TIR/MULE:MULE-TPase	128	7.7e-26	69.6	0.94	0.44
cluster_485#DNA/DTM|Class_II/Subclass_1/TIR/MULE:MULE-TPase	182	2e-49	99.5	0.99	0.86
cluster_498#DNA/DTM|Class_II/Subclass_1/TIR/MULE:MULE-TPase	107	3.8e-21	62.0	0.95	0.36
cluster_515#DNA/DTM|Class_II/Subclass_1/TIR/MULE:MULE-TPase	107	1.7e-21	62.0	0.96	0.37
cluster_526#DNA/DTM|Class_II/Subclass_1/TIR/MULE:MULE-TPase	75	2.6e-18	38.0	0.97	0.31
cluster_531#DNA/DTC|Class_II/Subclass_1/TIR/CMC:CMC-TPase	131	9.7e-19	31.8	0.94	0.16
cluster_540#DNA/DTC|Class_II/Subclass_1/TIR/CMC:CMC-TPase	188	5.8e-26	39.7	0.81	0.23
cluster_558#DNA/DTM|Class_II/Subclass_1/TIR/MULE:MULE-TPase	182	1e-36	99.5	0.96	0.64
cluster_563#DNA/DTM|Class_II/Subclass_1/TIR/MULE:MULE-TPase	72	7.3e-18	38.0	0.97	0.3
cluster_588#DNA/DTA|Class_II/Subclass_1/TIR/hAT:hAT-TPase	398	1.5e-40	76.9	0.66	0.29
cluster_590#DNA/DTA|Class_II/Subclass_1/TIR/hAT:hAT-TPase	242	2.3e-32	36.4	0.88	0.23
cluster_598#DNA/DTC|Class_II/Subclass_1/TIR/CMC:CMC-TPase	183	2.6e-25	39.1	0.8	0.22
cluster_602#DNA/DTC|Class_II/Subclass_1/TIR/CMC:CMC-TPase	185	3e-26	44.1	0.85	0.23
cluster_614#DNA/DTM|Class_II/Subclass_1/TIR/MULE:MULE-TPase	108	5.2e-17	62.5	0.92	0.29
cluster_616#DNA/DTM|Class_II/Subclass_1/TIR/MULE:MULE-TPase	73	2.7e-18	38.0	0.97	0.31
cluster_619#DNA/DTM|Class_II/Subclass_1/TIR/Ginger:Ginger-TPase	109	1.4e-06	63.4	0.83	0.12
cluster_623#DNA/DTM|Class_II/Subclass_1/TIR/MULE:MULE-TPase	72	6.9e-18	38.0	0.97	0.3
cluster_628#DNA/DTA|Class_II/Subclass_1/TIR/hAT:hAT-TPase	332	3.2e-54	71.8	0.88	0.39
cluster_632#DNA/DTH|Class_II/Subclass_1/TIR/Ginger:Ginger-TPase	146	6.3e-14	90.2	0.85	0.28
cluster_640#DNA/DTM|Class_II/Subclass_1/TIR/MULE:MULE-TPase	105	3.5e-15	61.4	0.92	0.25
cluster_646#DNA/DTM|Class_II/Subclass_1/TIR/MULE:MULE-TPase	120	2e-27	67.9	0.96	0.47
cluster_648#DNA/DTM|Class_II/Subclass_1/TIR/MULE:MULE-TPase	105	4.4e-15	61.4	0.92	0.25
cluster_654#DNA/DTM|Class_II/Subclass_1/TIR/MULE:MULE-TPase	73	4.7e-17	38.0	0.97	0.29
cluster_655#DNA/DTM|Class_II/Subclass_1/TIR/MULE:MULE-TPase	73	4.7e-17	38.0	0.97	0.29
cluster_660#DNA/DTH|Class_II/Subclass_1/TIR/PIF_Harbinger:PIF_Harbinger-TPase	142	1.1e-31	100.0	0.91	0.74
cluster_670#DNA/DTA|Class_II/Subclass_1/TIR/hAT:hAT-TPase	479	4.9e-80	100.0	0.87	0.58
cluster_677#DNA/DTM|Class_II/Subclass_1/TIR/MULE:MULE-TPase	80	2.3e-16	42.4	0.97	0.28
cluster_678#DNA/DTM|Class_II/Subclass_1/TIR/MULE:MULE-TPase	162	4.8e-30	74.5	0.91	0.52
cluster_680#DNA/DTA|Class_II/Subclass_1/TIR/hAT:hAT-TPase	333	5.7e-54	71.8	0.88	0.39
cluster_682#DNA/DTM|Class_II/Subclass_1/TIR/MULE:MULE-TPase	107	1e-17	62.0	0.92	0.3
cluster_698#DNA/DTA|Class_II/Subclass_1/TIR/hAT:hAT-TPase	144	2.1e-31	25.6	0.89	0.22
cluster_714#DNA/DTM|Class_II/Subclass_1/TIR/MULE:MULE-TPase	73	3e-18	38.0	0.97	0.31
cluster_715#DNA/DTM|Class_II/Subclass_1/TIR/MULE:MULE-TPase	106	3.1e-18	61.4	0.92	0.31
cluster_727#DNA/DTM|Class_II/Subclass_1/TIR/MULE:MULE-TPase	105	6.7e-19	62.0	0.95	0.32
cluster_737#DNA/DTM|Class_II/Subclass_1/TIR/MULE:MULE-TPase	71	4e-14	35.9	0.91	0.24
cluster_739#DNA/DTM|Class_II/Subclass_1/TIR/hAT:hAT-TPase	331	2.4e-28	58.4	0.89	0.2
cluster_748#DNA/DTA|Class_II/Subclass_1/TIR/hAT:hAT-TPase	364	5.8e-59	76.2	0.82	0.42
cluster_752#DNA/DTC|Class_II/Subclass_1/TIR/CMC:CMC-TPase	210	4.1e-28	56.7	0.91	0.25
cluster_756#DNA/DTM|Class_II/Subclass_1/TIR/MULE:MULE-TPase	75	5.8e-18	38.0	0.97	0.3
cluster_761#DNA/DTC|Class_II/Subclass_1/TIR/CMC:CMC-TPase	159	1.3e-25	38.8	0.87	0.22
cluster_763#DNA/DTA|Class_II/Subclass_1/TIR/hAT:hAT-TPase	364	4.2e-59	76.2	0.83	0.43
cluster_772#DNA/DTA|Class_II/Subclass_1/TIR/hAT:hAT-TPase	255	1.2e-22	44.4	0.73	0.16
cluster_783#DNA/DTA|Class_II/Subclass_1/TIR/hAT:hAT-TPase	425	1.1e-49	100.0	0.85	0.36
cluster_786#DNA/DTM|Class_II/Subclass_1/TIR/MULE:MULE-TPase	104	1.9e-20	61.4	0.95	0.35
cluster_793#DNA/DTT|Class_II/Subclass_1/TIR/Tc1_mariner:Tc1_mariner-TPase	180	1.4e-29	98.7	0.95	0.62
cluster_794#DNA/DTA|Class_II/Subclass_1/TIR/hAT:hAT-TPase	375	1.9e-59	77.6	0.81	0.43
cluster_796#DNA/DTM|Class_II/Subclass_1/TIR/MULE:MULE-TPase	165	7.4e-35	92.9	0.93	0.6
cluster_807#DNA/DTA|Class_II/Subclass_1/TIR/hAT:hAT-TPase	469	7.7e-65	99.8	0.7	0.47
cluster_809#DNA/DTA|Class_II/Subclass_1/TIR/hAT:hAT-TPase	469	2.4e-63	99.8	0.66	0.46
cluster_816#DNA/DTC|Class_II/Subclass_1/TIR/MULE:MULE-TPase	106	3.8e-19	61.4	0.91	0.33
cluster_912#DNA/DTC|Class_II/Subclass_1/TIR/CMC:CMC-TPase	111	4.8e-18	25.7	0.95	0.16
cluster_933#DNA/DTH|Class_II/Subclass_1/TIR/Ginger:Ginger-TPase	128	1.6e-15	71.9	0.83	0.31
cluster_937#DNA/DTC|Class_II/Subclass_1/TIR/PIF_Harbinger:PIF_Harbinger-TPase	120	2.2e-17	68.1	0.88	0.4
cluster_943#DNA/DTH|Class_II/Subclass_1/TIR/Ginger:Ginger-TPase	128	1.6e-15	71.9	0.83	0.31
