#id	length	evalue	coverge	probability	score
TE_00000457#DNA/Helitron|Class_I/LINE:LINE-RH	55	3.7e-06	32.2	0.86	0.18
TE_00000511#DNA/Helitron|Class_I/LINE:LINE-RH	53	8.9e-07	43.5	0.95	0.2
TE_00000534#DNA/Helitron|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila:Ty3-PROT	35	0.00025	41.8	0.92	0.19
TE_00000544#DNA/Helitron|Class_I/LINE:LINE-RH	82	2.7e-17	69.6	0.95	0.49
TE_00000563#DNA/Helitron|Class_I/LINE:LINE-RH	103	1.2e-14	84.3	0.89	0.42
TE_00000649#DNA/Helitron|Class_I/LINE:LINE-RH	45	0.00043	46.1	0.85	0.12
TE_00000734#DNA/Helitron|Class_II/Subclass_2/Helitron:Helitron-HEL2	111	8.5e-17	20.2	0.93	0.12
TE_00000769#DNA/Helitron|Class_I/LINE:LINE-RT	193	4.5e-14	65.2	0.83	0.17
TE_00000800#DNA/Helitron|Class_II/Subclass_2/Helitron:Helitron-HEL2	111	2.9e-13	20.0	0.88	0.1
TE_00000823#DNA/Helitron|Class_I/LINE:LINE-RH	112	3.7e-15	96.5	0.96	0.43
TE_00001006#DNA/Helitron|Class_I/LINE:LINE-RH	109	4.9e-23	94.8	0.97	0.65
TE_00001013#DNA/Helitron|Class_I/LINE:LINE-RH	114	1.6e-21	100.0	0.96	0.61
TE_00001053#DNA/Helitron|Class_I/LINE:LINE-RH	114	5e-20	91.3	0.92	0.57
TE_00001057#DNA/Helitron|Class_II/Subclass_1/TIR/MuDR_Mutator:MuDR-TPase	73	0.00012	28.8	0.87	0.09
TE_00001102#DNA/Helitron|Class_I/LINE:LINE-RH	73	2.3e-08	51.3	0.92	0.24
TE_00001282#DNA/Helitron|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-aRH	48	4.4e-11	33.1	0.96	0.3
TE_00001303#DNA/Helitron|Class_I/LINE:LINE-RH	114	2.4e-21	100.0	0.96	0.61
TE_00001316#DNA/Helitron|Class_I/LTR/Ty1_copia/Tork:Ty1-PROT	48	0.00051	51.4	0.92	0.19
TE_00001316#DNA/Helitron|Class_I/LTR/Ty1_copia/Tork:Ty1-GAG	49	1.2e-06	47.8	0.92	0.25
TE_00001329#DNA/Helitron|Class_II/Subclass_1/TIR/hAT:hAT-TPase	228	1.1e-11	46.2	0.81	0.09
TE_00001417#DNA/Helitron|Class_II/Subclass_2/Helitron:Helitron-HEL2	125	4e-17	22.6	0.89	0.12
TE_00001460#DNA/Helitron|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila:Ty3-PROT	75	3.8e-13	100.0	0.97	0.54
TE_00001486#DNA/Helitron|Class_I/LINE:LINE-RH	68	1.8e-08	53.0	0.89	0.25
TE_00001505#DNA/Helitron|Class_I/LINE:LINE-RH	114	8.7e-23	100.0	0.96	0.65
TE_00002337#DNA/Helitron|Class_I/LINE:LINE-RH	106	7.9e-12	89.6	0.86	0.34
TE_00002572#DNA/Helitron|Class_I/LINE:LINE-RH	117	1.7e-11	78.3	0.81	0.33
TE_00003418#DNA/Helitron|Class_I/LTR/Ty1_copia/Ale:Ty1-PROT	38	5.1e-06	50.7	0.95	0.3
