#TE	Order	Superfamily	Clade	Complete	Strand	Domains
ARNOLD1	TIR	MULE	unknown	unknown	+	TPase|MULE
ARNOLD2	TIR	MULE	unknown	unknown	+	TPase|MULE
ARNOLD3	TIR	MULE	unknown	unknown	+	TPase|MULE
ARNOLD4	TIR	MULE	unknown	unknown	+	TPase|MULE
ATENSPM10	TIR	CMC	unknown	unknown	+	TPase|CMC
ATENSPM11	TIR	CMC	unknown	unknown	+	TPase|CMC
ATENSPM2	TIR	CMC	unknown	unknown	+	TPase|CMC
ATENSPM3	TIR	CMC	unknown	unknown	+	TPase|CMC
ATENSPM5	TIR	CMC	unknown	unknown	+	TPase|CMC
ATENSPM6	TIR	CMC	unknown	unknown	+	TPase|CMC
ATENSPM7	TIR	CMC	unknown	unknown	+	TPase|CMC
ATENSPM9	TIR	CMC	unknown	unknown	+	TPase|CMC
ATHAT1	TIR	hAT	unknown	unknown	+	TPase|hAT
ATHAT10	TIR	hAT	unknown	unknown	+	TPase|hAT
ATHAT2	TIR	hAT	unknown	unknown	+	TPase|hAT
ATHAT7	TIR	hAT	unknown	unknown	+	TPase|hAT
ATHPOGO	TIR	Tc1_mariner	unknown	unknown	+	TPase|Tc1_mariner
ATIS112A	TIR	PIF_Harbinger	unknown	unknown	+	TPase|PIF_Harbinger
ATMU1	TIR	MULE	unknown	unknown	+	TPase|MULE
ATMU10	TIR	MULE	unknown	unknown	+	TPase|MULE
ATMU11	TIR	MULE	unknown	unknown	+	TPase|MULE
ATMU2	TIR	MULE	unknown	unknown	+	TPase|MULE
ATMU3	TIR	MULE	unknown	unknown	+	TPase|MULE
ATMU4	TIR	MULE	unknown	unknown	+	TPase|MULE
ATMU5	TIR	MULE	unknown	unknown	+	TPase|MULE
ATMU6	TIR	MULE	unknown	unknown	+	TPase|MULE
ATMU7	TIR	MULE	unknown	unknown	+	TPase|MULE
ATMU8	TIR	MULE	unknown	unknown	+	TPase|MULE
ATMU9	TIR	MULE	unknown	unknown	+	TPase|MULE
HARBINGER	TIR	PIF_Harbinger	unknown	unknown	+	TPase|PIF_Harbinger
TAG2	TIR	hAT	unknown	unknown	+	TPase|hAT
VANDAL1	TIR	MULE	unknown	unknown	+	TPase|MULE
VANDAL10	TIR	MULE	unknown	unknown	+	TPase|MULE
VANDAL11	TIR	MULE	unknown	unknown	+	TPase|MULE
VANDAL13	TIR	MULE	unknown	unknown	+	TPase|MULE
VANDAL14	TIR	MULE	unknown	unknown	+	TPase|MULE
VANDAL15	TIR	MULE	unknown	unknown	+	TPase|MULE
VANDAL16	TIR	MULE	unknown	unknown	+	TPase|MULE
VANDAL17	TIR	MULE	unknown	unknown	+	TPase|MULE
VANDAL18	TIR	MULE	unknown	unknown	+	TPase|MULE
VANDAL2	TIR	MULE	unknown	unknown	+	TPase|MULE
VANDAL20	TIR	MULE	unknown	unknown	+	TPase|MULE
VANDAL21	TIR	MULE	unknown	unknown	+	TPase|MULE
VANDAL22	TIR	MULE	unknown	unknown	+	TPase|MULE
VANDAL3	TIR	MULE	unknown	unknown	+	TPase|MULE
VANDAL4	TIR	MULE	unknown	unknown	+	TPase|MULE
VANDAL5	TIR	MULE	unknown	unknown	+	TPase|MULE
VANDAL5A	TIR	MULE	unknown	unknown	+	TPase|MULE
VANDAL6	TIR	MULE	unknown	unknown	+	TPase|MULE
VANDAL7	TIR	MULE	unknown	unknown	+	TPase|MULE
VANDAL8	TIR	MULE	unknown	unknown	+	TPase|MULE
VANDAL9	TIR	MULE	unknown	unknown	+	TPase|MULE
ATDNATA1	TIR	MULE	unknown	none	?	none
