#id	length	evalue	coverge	probability	score
ARNOLD1|Class_II/Subclass_1/TIR/MULE:MULE-TPase	76	1.2e-16	38.6	0.96	0.28
ARNOLD2|Class_II/Subclass_1/TIR/MULE:MULE-TPase	158	3.1e-28	88.6	0.96	0.49
ARNOLD3|Class_II/Subclass_1/TIR/MULE:MULE-TPase	172	2.9e-37	100.0	0.97	0.65
ARNOLD4|Class_II/Subclass_1/TIR/MULE:MULE-TPase	172	3e-36	100.0	0.97	0.63
ATENSPM10|Class_II/Subclass_1/TIR/CMC:CMC-TPase	192	1.7e-17	33.8	0.91	0.15
ATENSPM11|Class_II/Subclass_1/TIR/CMC:CMC-TPase	166	8.9e-26	39.1	0.89	0.23
ATENSPM2|Class_II/Subclass_1/TIR/CMC:CMC-TPase	153	2.9e-10	34.1	0.76	0.08
ATENSPM3|Class_II/Subclass_1/TIR/CMC:CMC-TPase	78	6.5e-13	20.4	0.97	0.11
ATENSPM5|Class_II/Subclass_1/TIR/CMC:CMC-TPase	163	4.3e-24	39.9	0.82	0.21
ATENSPM6|Class_II/Subclass_1/TIR/CMC:CMC-TPase	149	4.7e-11	26.5	0.78	0.09
ATENSPM7|Class_II/Subclass_1/TIR/CMC:CMC-TPase	92	3.9e-15	24.3	0.96	0.13
ATENSPM9|Class_II/Subclass_1/TIR/CMC:CMC-TPase	151	8e-23	31.8	0.95	0.2
ATHAT1|Class_II/Subclass_1/TIR/hAT:hAT-TPase	236	1.7e-23	31.6	0.87	0.16
ATHAT10|Class_II/Subclass_1/TIR/hAT:hAT-TPase	234	3.9e-29	49.1	0.89	0.21
ATHAT2|Class_II/Subclass_1/TIR/hAT:hAT-TPase	211	2.9e-33	40.4	0.84	0.24
ATHAT7|Class_II/Subclass_1/TIR/hAT:hAT-TPase	295	2.5e-19	51.3	0.78	0.13
ATHPOGO|Class_II/Subclass_1/TIR/Tc1_mariner:Tc1_mariner-TPase	151	2.1e-29	100.0	0.95	0.62
ATIS112A|Class_II/Subclass_1/TIR/PIF_Harbinger:PIF_Harbinger-TPase	115	1.8e-06	68.1	0.82	0.13
ATMU1|Class_II/Subclass_1/TIR/MULE:MULE-TPase	151	4.9e-25	84.8	0.94	0.43
ATMU10|Class_II/Subclass_1/TIR/MULE:MULE-TPase	106	7.9e-12	62.0	0.9	0.2
ATMU11|Class_II/Subclass_1/TIR/MULE:MULE-TPase	78	6.7e-10	36.4	0.91	0.16
ATMU2|Class_II/Subclass_1/TIR/MULE:MULE-TPase	172	3.2e-08	95.1	0.79	0.13
ATMU3|Class_II/Subclass_1/TIR/MULE:MULE-TPase	106	3.1e-18	62.0	0.92	0.31
ATMU4|Class_II/Subclass_1/TIR/MULE:MULE-TPase	78	8.2e-17	39.1	0.94	0.28
ATMU5|Class_II/Subclass_1/TIR/MULE:MULE-TPase	106	4.4e-22	62.0	0.93	0.38
ATMU6|Class_II/Subclass_1/TIR/MULE:MULE-TPase	51	3e-11	24.5	0.92	0.19
ATMU7|Class_II/Subclass_1/TIR/MULE:MULE-TPase	98	1.1e-12	54.9	0.9	0.21
ATMU8|Class_II/Subclass_1/TIR/MULE:MULE-TPase	107	3.9e-18	60.9	0.92	0.31
ATMU9|Class_II/Subclass_1/TIR/MULE:MULE-TPase	75	5.5e-09	37.5	0.96	0.15
HARBINGER|Class_II/Subclass_1/TIR/PIF_Harbinger:PIF_Harbinger-TPase	142	1.1e-29	100.0	0.91	0.69
TAG2|Class_II/Subclass_1/TIR/hAT:hAT-TPase	310	1.2e-37	62.4	0.81	0.27
VANDAL1|Class_II/Subclass_1/TIR/MULE:MULE-TPase	104	1.7e-18	61.4	0.96	0.31
VANDAL10|Class_II/Subclass_1/TIR/MULE:MULE-TPase	68	1.6e-12	34.8	0.94	0.21
VANDAL11|Class_II/Subclass_1/TIR/MULE:MULE-TPase	229	4.8e-20	99.5	0.92	0.34
VANDAL13|Class_II/Subclass_1/TIR/MULE:MULE-TPase	103	1.9e-17	59.2	0.96	0.3
VANDAL14|Class_II/Subclass_1/TIR/MULE:MULE-TPase	89	3e-21	47.8	0.94	0.36
VANDAL15|Class_II/Subclass_1/TIR/MULE:MULE-TPase	41	5.5e-06	20.7	0.94	0.09
VANDAL16|Class_II/Subclass_1/TIR/MULE:MULE-TPase	63	1.8e-13	28.3	0.94	0.22
VANDAL17|Class_II/Subclass_1/TIR/MULE:MULE-TPase	175	5.6e-39	99.5	0.96	0.68
VANDAL18|Class_II/Subclass_1/TIR/MULE:MULE-TPase	172	4.9e-25	98.9	0.97	0.43
