#id	length	evalue	coverge	probability	score
rnd-1_family-141|Class_I/LINE:LINE-RH	65	5.2e-07	42.0	0.86	23.9
rnd-1_family-187|Class_II/Subclass_1/TIR/MuDR_Mutator:MuDR-TPase	84	8.3e-14	50.6	0.95	45.7
rnd-1_family-188|Class_II/Subclass_1/TIR/MuDR_Mutator:MuDR-TPase	68	1.8e-10	37.2	0.93	34.8
rnd-1_family-198|Class_II/Subclass_1/TIR/MuDR_Mutator:MuDR-TPase	93	1.7e-16	54.1	0.95	54.4
rnd-4_family-37|Class_I/LINE:LINE-RH	52	0.00075	35.7	0.91	13.8
rnd-5_family-1746|Class_II/Subclass_1/TIR/MuDR_Mutator:MuDR-TPase	170	8.7e-35	95.3	0.91	114.0
rnd-5_family-2588|Class_I/LTR/Ty1_copia/Tork:Ty1-PROT	68	1.4e-07	83.3	0.96	25.6
rnd-5_family-3623|Class_II/Subclass_1/TIR/MuDR_Mutator:MuDR-TPase	167	2.7e-35	100.0	0.92	115.6
rnd-5_family-446|Class_I/LINE:LINE-RT	118	1.6e-26	39.6	0.88	87.1
rnd-5_family-446|Class_I/LINE:LINE-ENDO	115	2.5e-06	37.7	0.68	21.6
rnd-5_family-4879|Class_I/LTR/Ty3_gypsy/chromovirus/Galadriel:Ty3-CHD	39	4.5e-05	42.5	0.91	17.6
rnd-5_family-959|Class_I/LINE:LINE-ENDO	126	1.4e-07	44.5	0.77	25.7
rnd-6_family-1806|Class_II/Subclass_1/TIR/EnSpm_CACTA:CACTA-TPase	193	2.9e-56	46.0	0.91	185.0
rnd-6_family-1819|Class_I/LTR/Ty1_copia/Ale:Ty1-GAG	107	7e-18	100.0	0.89	58.8
rnd-6_family-2662|Class_II/Subclass_1/TIR/MuDR_Mutator:MuDR-TPase	67	9.1e-12	39.5	0.94	39.0
rnd-6_family-2720|Class_II/Subclass_2/Maverick:Maverick-ATPase	32	0.00024	36.4	0.92	14.8
rnd-6_family-2800|Class_II/Subclass_1/TIR/EnSpm_CACTA:CACTA-TPase	91	3.5e-32	20.0	0.95	105.7
rnd-6_family-297|Class_I/LTR/Ty3_gypsy/chromovirus/CRM:Ty3-GAG	64	1.5e-11	43.8	0.95	38.4
rnd-6_family-3069|Class_I/LTR/Ty3_gypsy/chromovirus/Tekay:Ty3-PROT	27	9e-05	29.3	0.84	16.8
rnd-6_family-3502|Class_I/LTR/Ty3_gypsy/chromovirus/Chlamyvir:Ty3-CHD	21	0.001	20.3	0.92	13.0
rnd-6_family-3811|Class_I/LINE:LINE-RH	112	8.2e-17	92.9	0.9	55.5
rnd-6_family-4597|Class_I/LINE:LINE-RH	110	1.7e-15	71.4	0.88	51.3
rnd-6_family-4829|Class_I/LINE:LINE-RH	100	0.00075	60.7	0.86	13.8
rnd-6_family-5018|Class_I/LTR/Ty3_gypsy/chromovirus/chromo-outgroup:Ty3-CHD	68	7.3e-11	52.7	0.81	35.7
rnd-6_family-5041|Class_I/LTR/Ty1_copia/TAR:Ty1-GAG	57	6.1e-09	60.0	0.86	30.6
rnd-6_family-5231|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila:Ty3-PROT	77	1.6e-22	100.0	0.95	73.2
rnd-6_family-5426|Class_I/pararetrovirus:PARA-PROT	62	4e-09	62.0	0.93	30.5
rnd-6_family-5426|Class_I/pararetrovirus:PARA-RT	101	7.9e-36	56.8	0.99	117.0
rnd-6_family-5426|Class_I/LTR/Ty3_gypsy:Ty3-RH	155	7.8e-26	100.0	0.89	84.6
rnd-6_family-631|Class_I/LTR/Ty3_gypsy:Ty3-GAG	79	1.1e-08	58.1	0.91	29.4
rnd-6_family-7633|Class_II/Subclass_1/TIR/MuDR_Mutator:MuDR-TPase	169	6.5e-33	94.2	0.93	107.9
rnd-6_family-8184|Class_II/Subclass_1/TIR/MuDR_Mutator:MuDR-TPase	61	3.9e-10	32.6	0.91	33.7
