#TE	Order	Superfamily	Clade	Complete	Strand	Domains
TE_00003053#DNA/DTA	TIR	hAT	unknown	unknown	-	TPase|hAT
cluster_1032#DNA/DTH	TIR	PIF_Harbinger	unknown	unknown	-	TPase|PIF_Harbinger
cluster_1165#DNA/DTA	TIR	hAT	unknown	unknown	+	TPase|hAT
cluster_1200#DNA/DTA	TIR	hAT	unknown	unknown	-	TPase|hAT
cluster_1257#DNA/DTA	TIR	hAT	unknown	unknown	+	TPase|hAT
cluster_348#DNA/DTM	TIR	MULE	unknown	unknown	-	TPase|MULE
cluster_357#DNA/DTC	TIR	Ginger	unknown	unknown	+	TPase|Ginger
cluster_359#DNA/DTA	TIR	hAT	unknown	unknown	+	TPase|hAT
cluster_397#DNA/DTM	TIR	MULE	unknown	unknown	+	TPase|MULE
cluster_398#DNA/DTH	TIR	PIF_Harbinger	unknown	unknown	+	TPase|PIF_Harbinger
cluster_459#DNA/DTM	TIR	MULE	unknown	unknown	+	TPase|MULE
cluster_460#DNA/DTM	TIR	MULE	unknown	unknown	-	TPase|MULE
cluster_465#DNA/DTM	TIR	MULE	unknown	unknown	-	TPase|MULE
cluster_476#DNA/DTM	TIR	MULE	unknown	unknown	-	TPase|MULE
cluster_485#DNA/DTM	TIR	MULE	unknown	unknown	-	TPase|MULE
cluster_498#DNA/DTM	TIR	MULE	unknown	unknown	+	TPase|MULE
cluster_515#DNA/DTM	TIR	MULE	unknown	unknown	+	TPase|MULE
cluster_526#DNA/DTM	TIR	MULE	unknown	unknown	-	TPase|MULE
cluster_531#DNA/DTC	TIR	CMC	unknown	unknown	+	TPase|CMC
cluster_540#DNA/DTC	TIR	CMC	unknown	unknown	+	TPase|CMC
cluster_558#DNA/DTM	TIR	MULE	unknown	unknown	+	TPase|MULE
cluster_563#DNA/DTM	TIR	MULE	unknown	unknown	-	TPase|MULE
cluster_588#DNA/DTA	TIR	hAT	unknown	unknown	-	TPase|hAT
cluster_590#DNA/DTA	TIR	hAT	unknown	unknown	+	TPase|hAT
cluster_598#DNA/DTC	TIR	CMC	unknown	unknown	+	TPase|CMC
cluster_602#DNA/DTC	TIR	CMC	unknown	unknown	-	TPase|CMC
cluster_614#DNA/DTM	TIR	MULE	unknown	unknown	+	TPase|MULE
cluster_616#DNA/DTM	TIR	MULE	unknown	unknown	-	TPase|MULE
cluster_619#DNA/DTM	TIR	Ginger	unknown	unknown	-	TPase|Ginger
cluster_623#DNA/DTM	TIR	MULE	unknown	unknown	-	TPase|MULE
cluster_628#DNA/DTA	TIR	hAT	unknown	unknown	+	TPase|hAT
cluster_632#DNA/DTH	TIR	Ginger	unknown	unknown	-	TPase|Ginger
cluster_640#DNA/DTM	TIR	MULE	unknown	unknown	-	TPase|MULE
cluster_646#DNA/DTM	TIR	MULE	unknown	unknown	-	TPase|MULE
cluster_648#DNA/DTM	TIR	MULE	unknown	unknown	+	TPase|MULE
cluster_654#DNA/DTM	TIR	MULE	unknown	unknown	-	TPase|MULE
cluster_655#DNA/DTM	TIR	MULE	unknown	unknown	+	TPase|MULE
cluster_660#DNA/DTH	TIR	PIF_Harbinger	unknown	unknown	+	TPase|PIF_Harbinger
cluster_670#DNA/DTA	TIR	hAT	unknown	unknown	+	TPase|hAT
cluster_677#DNA/DTM	TIR	MULE	unknown	unknown	-	TPase|MULE
cluster_678#DNA/DTM	TIR	MULE	unknown	unknown	+	TPase|MULE
cluster_680#DNA/DTA	TIR	hAT	unknown	unknown	-	TPase|hAT
cluster_682#DNA/DTM	TIR	MULE	unknown	unknown	-	TPase|MULE
cluster_698#DNA/DTA	TIR	hAT	unknown	unknown	+	TPase|hAT
cluster_714#DNA/DTM	TIR	MULE	unknown	unknown	+	TPase|MULE
cluster_715#DNA/DTM	TIR	MULE	unknown	unknown	-	TPase|MULE
cluster_727#DNA/DTM	TIR	MULE	unknown	unknown	+	TPase|MULE
cluster_737#DNA/DTM	TIR	MULE	unknown	unknown	-	TPase|MULE
cluster_739#DNA/DTM	TIR	hAT	unknown	unknown	-	TPase|hAT
cluster_748#DNA/DTA	TIR	hAT	unknown	unknown	-	TPase|hAT
cluster_752#DNA/DTC	TIR	CMC	unknown	unknown	-	TPase|CMC
