#id	length	evalue	coverge	probability	score
ATCOPIA1|Class_I/LTR/Ty1_copia/Ale:Ty1-GAG	109	1.5e-22	94.5	0.93	0.8
ATCOPIA1|Class_I/LTR/Ty1_copia/Ale:Ty1-PROT	68	6.4e-21	100.0	0.97	0.99
ATCOPIA1|Class_I/LTR/Ty1_copia/Ale:Ty1-INT	200	1.1e-71	100.0	0.93	1.19
ATCOPIA1|Class_I/LTR/Ty1_copia/Ale:Ty1-RT	260	1.8e-97	100.0	0.96	1.24
ATCOPIA1|Class_I/LTR/Ty1_copia/Ale:Ty1-RH	127	3.2e-39	100.0	0.99	1.0
ATCOPIA10|Class_I/LTR/Ty1_copia/Tork:Ty1-GAG	61	1.8e-05	64.4	0.92	0.2
ATCOPIA10|Class_I/LTR/Ty1_copia/Tork:Ty1-PROT	72	5.4e-15	100.0	0.97	0.68
ATCOPIA10|Class_I/LTR/Ty1_copia/Tork:Ty1-INT	166	1.1e-43	79.2	0.97	0.72
ATCOPIA10|Class_I/LTR/Ty1_copia/Tork:Ty1-RT	260	1.7e-69	100.0	1.0	0.87
ATCOPIA10|Class_I/LTR/Ty1_copia/Tork:Ty1-RH	49	8.2e-18	36.5	0.98	0.46
ATCOPIA11|Class_I/LTR/Ty1_copia/Ale:Ty1-GAG	103	3e-24	95.6	0.91	0.86
ATCOPIA11|Class_I/LTR/Ty1_copia/Ale:Ty1-PROT	68	6.7e-09	100.0	0.96	0.43
ATCOPIA11|Class_I/LTR/Ty1_copia/Ale:Ty1-INT	190	7.3e-29	84.8	0.94	0.48
ATCOPIA11|Class_I/LTR/Ty1_copia/Ale:Ty1-RT	254	9.4e-99	97.7	0.97	1.26
ATCOPIA11|Class_I/LTR/Ty1_copia/Ale:Ty1-RH	127	5e-38	100.0	0.97	0.97
ATCOPIA12|Class_I/LTR/Ty1_copia/Ale:Ty1-GAG	112	3.8e-13	94.5	0.94	0.47
ATCOPIA12|Class_I/LTR/Ty1_copia/Ale:Ty1-PROT	68	5.4e-11	98.6	0.97	0.53
ATCOPIA12|Class_I/LTR/Ty1_copia/Ale:Ty1-INT	193	4.7e-69	100.0	0.96	1.14
ATCOPIA12|Class_I/LTR/Ty1_copia/Ale:Ty1-RT	255	8.4e-110	100.0	0.98	1.4
ATCOPIA12|Class_I/LTR/Ty1_copia/Ale:Ty1-RH	75	1e-19	54.3	0.93	0.51
ATCOPIA13|Class_I/LTR/Ty1_copia/Ale:Ty1-GAG	78	1.8e-09	72.5	0.95	0.34
ATCOPIA13|Class_I/LTR/Ty1_copia/Ale:Ty1-PROT	68	3.6e-14	98.6	0.95	0.68
ATCOPIA13|Class_I/LTR/Ty1_copia/Ale:Ty1-INT	103	2.1e-31	48.2	0.95	0.52
ATCOPIA13|Class_I/LTR/Ty1_copia/Ale:Ty1-RT	129	7.7e-51	47.1	0.97	0.65
ATCOPIA13|Class_I/LTR/Ty1_copia/Ale:Ty1-RH	119	7.3e-11	61.4	0.77	0.28
ATCOPIA14|Class_I/LTR/Ty1_copia/Ale:Ty1-GAG	102	5e-23	92.3	0.96	0.82
ATCOPIA14|Class_I/LTR/Ty1_copia/Ale:Ty1-PROT	67	0.00024	97.1	0.96	0.22
ATCOPIA14|Class_I/LTR/Ty1_copia/Ale:Ty1-INT	193	2.8e-72	100.0	0.96	1.2
ATCOPIA14|Class_I/LTR/Ty1_copia/Ale:Ty1-RT	192	4e-38	70.0	0.94	0.48
ATCOPIA14|Class_I/LTR/Ty1_copia/Ale:Ty1-RH	127	8.2e-44	100.0	1.0	1.12
ATCOPIA15|Class_I/LTR/Ty1_copia/Ale:Ty1-PROT	68	1.2e-12	100.0	0.96	0.61
ATCOPIA15|Class_I/LTR/Ty1_copia/Ale:Ty1-INT	126	2.1e-49	64.0	0.98	0.82
ATCOPIA15|Class_I/LTR/Ty1_copia/Ale:Ty1-RT	260	2.6e-77	100.0	0.96	0.98
ATCOPIA15|Class_I/LTR/Ty1_copia/Ale:Ty1-RH	128	3.9e-30	97.6	0.94	0.77
ATCOPIA16|Class_I/LTR/Ty1_copia/Ale:Ty1-GAG	109	6.7e-15	95.6	0.94	0.53
ATCOPIA16|Class_I/LTR/Ty1_copia/Ale:Ty1-PROT	49	3.7e-10	62.3	0.92	0.49
ATCOPIA16|Class_I/LTR/Ty1_copia/Ale:Ty1-INT	194	8.1e-54	90.4	0.93	0.89
ATCOPIA16|Class_I/LTR/Ty1_copia/Ale:Ty1-RT	215	1.3e-87	81.7	0.96	1.12
ATCOPIA16|Class_I/LTR/Ty1_copia/Ale:Ty1-RH	127	1.1e-44	100.0	0.99	1.14
ATCOPIA17|Class_I/LTR/Ty1_copia/Ale:Ty1-GAG	111	8.3e-18	94.5	0.95	0.64
ATCOPIA17|Class_I/LTR/Ty1_copia/Ale:Ty1-PROT	68	2.8e-25	100.0	0.99	1.19
ATCOPIA17|Class_I/LTR/Ty1_copia/Ale:Ty1-INT	193	2.3e-72	99.0	0.96	1.2
ATCOPIA17|Class_I/LTR/Ty1_copia/Ale:Ty1-RT	260	4.3e-101	100.0	0.97	1.29
ATCOPIA17|Class_I/LTR/Ty1_copia/Ale:Ty1-RH	84	5.7e-19	61.4	0.97	0.49
ATCOPIA18|Class_I/LTR/Ty1_copia/Ale:Ty1-RT	259	2.4e-92	100.0	0.95	1.18
ATCOPIA18|Class_I/LTR/Ty1_copia/Ale:Ty1-RH	127	2.6e-53	100.0	0.99	1.36
ATCOPIA18A|Class_I/LTR/Ty1_copia/Ale:Ty1-GAG	104	6.5e-21	86.8	0.96	0.75
ATCOPIA18A|Class_I/LTR/Ty1_copia/Ale:Ty1-PROT	68	2.5e-22	100.0	0.99	1.06
ATCOPIA18A|Class_I/LTR/Ty1_copia/Ale:Ty1-INT	193	1.8e-78	100.0	0.96	1.3
ATCOPIA18A|Class_I/LTR/Ty1_copia/Ale:Ty1-RT	259	6.2e-104	100.0	0.96	1.32
ATCOPIA18A|Class_I/LTR/Ty1_copia/Ale:Ty1-RH	123	1.1e-47	96.1	0.99	1.22
ATCOPIA19|Class_I/LTR/Ty1_copia/Ale:Ty1-GAG	93	7e-15	93.4	0.9	0.53
ATCOPIA19|Class_I/LTR/Ty1_copia/Ale:Ty1-PROT	72	5e-22	100.0	0.99	1.04
ATCOPIA19|Class_I/LTR/Ty1_copia/Ale:Ty1-INT	196	5.4e-77	100.0	0.97	1.28
ATCOPIA19|Class_I/LTR/Ty1_copia/Ale:Ty1-RT	247	2.4e-102	91.1	0.97	1.3
ATCOPIA19|Class_I/LTR/Ty1_copia/Ale:Ty1-RH	127	2e-48	100.0	0.97	1.24
ATCOPIA2|Class_I/LTR/Ty1_copia/Ale:Ty1-GAG	92	1.3e-09	93.4	0.94	0.35
ATCOPIA2|Class_I/LTR/Ty1_copia/Ale:Ty1-PROT	65	1.4e-19	87.0	0.94	0.93
ATCOPIA2|Class_I/LTR/Ty1_copia/Ale:Ty1-INT	195	1.2e-70	100.0	0.97	1.17
ATCOPIA2|Class_I/LTR/Ty1_copia/Ale:Ty1-RT	257	1.7e-110	100.0	0.98	1.41
ATCOPIA2|Class_I/LTR/Ty1_copia/Ale:Ty1-RH	127	1.7e-50	95.3	0.96	1.29
ATCOPIA20|Class_I/LTR/Ty1_copia/Ale:Ty1-GAG	103	4.7e-22	94.5	0.95	0.79
ATCOPIA20|Class_I/LTR/Ty1_copia/Ale:Ty1-PROT	65	4.3e-16	98.6	0.95	0.77
ATCOPIA20|Class_I/LTR/Ty1_copia/Ale:Ty1-INT	190	7.8e-74	100.0	0.97	1.22
ATCOPIA20|Class_I/LTR/Ty1_copia/Ale:Ty1-RT	256	3.3e-109	100.0	0.99	1.39
ATCOPIA20|Class_I/LTR/Ty1_copia/Ale:Ty1-RH	127	3e-52	100.0	0.99	1.34
ATCOPIA21|Class_I/LTR/Ty1_copia/Ale:Ty1-GAG	94	9.5e-07	81.3	0.87	0.25
ATCOPIA21|Class_I/LTR/Ty1_copia/Ale:Ty1-PROT	72	1e-27	100.0	0.99	1.31
ATCOPIA21|Class_I/LTR/Ty1_copia/Ale:Ty1-INT	195	1.6e-50	100.0	0.96	0.84
ATCOPIA21|Class_I/LTR/Ty1_copia/Ale:Ty1-RT	255	1.6e-88	100.0	0.98	1.13
ATCOPIA21|Class_I/LTR/Ty1_copia/Ale:Ty1-RH	127	1.8e-31	99.2	0.96	0.81
ATCOPIA22|Class_I/LTR/Ty1_copia/Ale:Ty1-GAG	112	4e-21	93.4	0.96	0.75
ATCOPIA22|Class_I/LTR/Ty1_copia/Ale:Ty1-PROT	68	4.1e-20	100.0	0.98	0.95
ATCOPIA22|Class_I/LTR/Ty1_copia/Ale:Ty1-INT	189	2.6e-75	95.9	0.95	1.25
ATCOPIA22|Class_I/LTR/Ty1_copia/Ale:Ty1-RT	255	4.5e-114	100.0	0.98	1.45
ATCOPIA22|Class_I/LTR/Ty1_copia/Ale:Ty1-RH	127	2e-56	100.0	1.0	1.44
ATCOPIA23|Class_I/LTR/Ty1_copia/Ivana:Ty1-GAG	93	1.9e-32	100.0	0.99	1.13
ATCOPIA23|Class_I/LTR/Ty1_copia/Ivana:Ty1-PROT	71	1.5e-30	100.0	1.0	1.39
ATCOPIA23|Class_I/LTR/Ty1_copia/Ivana:Ty1-INT	202	1.2e-72	100.0	0.98	1.19
ATCOPIA23|Class_I/LTR/Ty1_copia/Ivana:Ty1-RT	256	2.3e-79	99.2	0.99	1.01
ATCOPIA23|Class_I/LTR/Ty1_copia/Ivana:Ty1-RH	86	3.7e-21	64.6	0.98	0.54
ATCOPIA24|Class_I/LTR/Ty1_copia/Ale:Ty1-PROT	41	1.1e-11	53.6	0.96	0.56
ATCOPIA24|Class_I/LTR/Ty1_copia/Ale:Ty1-INT	92	6.3e-31	48.2	0.98	0.51
ATCOPIA24|Class_I/LTR/Ty1_copia/Ale:Ty1-RT	259	7.4e-90	99.2	0.96	1.14
ATCOPIA24|Class_I/LTR/Ty1_copia/Ale:Ty1-RH	126	1.3e-33	92.1	0.95	0.86
ATCOPIA25|Class_I/LTR/Ty1_copia/Ale:Ty1-GAG	51	1e-09	52.7	0.96	0.35
ATCOPIA25|Class_I/LTR/Ty1_copia/Ale:Ty1-PROT	72	2.2e-23	100.0	0.99	1.11
ATCOPIA25|Class_I/LTR/Ty1_copia/Ale:Ty1-INT	82	2e-29	41.1	0.98	0.49
ATCOPIA25|Class_I/LTR/Ty1_copia/Ale:Ty1-RT	263	1.2e-43	100.0	0.89	0.56
ATCOPIA25|Class_I/LTR/Ty1_copia/Ale:Ty1-RH	122	5.6e-32	85.0	0.97	0.82
ATCOPIA26|Class_I/LTR/Ty1_copia/Ale:Ty1-GAG	99	5.5e-16	91.2	0.94	0.57
ATCOPIA26|Class_I/LTR/Ty1_copia/Ale:Ty1-PROT	52	4.2e-09	73.9	0.93	0.44
ATCOPIA26|Class_I/LTR/Ty1_copia/Ale:Ty1-INT	193	1.8e-78	100.0	0.96	1.3
ATCOPIA26|Class_I/LTR/Ty1_copia/Ale:Ty1-RT	255	5.1e-108	100.0	0.98	1.38
ATCOPIA26|Class_I/LTR/Ty1_copia/Ale:Ty1-RH	127	2e-49	100.0	0.99	1.26
