#id	length	evalue	coverge	probability	score
TE_00000506_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-GAG	117	3.2e-20	100.0	0.99	0.57
TE_00001619_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-PROT	61	4.7e-08	73.9	0.91	0.39
TE_00001621_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-PROT	57	6.4e-08	71.0	0.91	0.39
TE_00001696_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/CRM:Ty3-GAG	41	4.4e-11	29.2	0.96	0.28
TE_00001771_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-GAG	85	3.1e-05	68.4	0.86	0.16
TE_00001816_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/CRM:Ty3-CHDCR	32	0.00013	42.1	0.8	0.28
TE_00001840_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-GAG	117	6.1e-27	100.0	0.99	0.75
TE_00001840_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-PROT	74	8.5e-23	100.0	1.0	1.0
TE_00001969_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/CRM:Ty3-GAG	82	1.7e-16	56.2	0.96	0.42
TE_00002029_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-GAG	95	3e-22	95.6	0.97	0.79
TE_00002086_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/CRM:Ty3-GAG	93	6.6e-15	55.4	0.93	0.38
TE_00002146_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-GAG	117	4.5e-31	100.0	1.0	0.87
TE_00002146_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-PROT	74	1.2e-24	100.0	1.0	1.08
TE_00002156_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-GAG	52	7.6e-08	52.7	0.94	0.28
TE_00002166_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Tork:Ty1-GAG	39	2.9e-08	41.1	0.96	0.3
